a | zu, an, bei
surd | taub
surdimut | taubstumm
surdine | Dämpfer
sure | Wade
Surinam | Surinam
surogate | Ersatz, Surrogat
surplus | Überschuss, Rest
surprender | auf sich nehmen
surprisar | überraschen
surprise | Überraschung
surscrir | überschreiben
surscrition | Überschreibung
surspruzzar | bespritzen
surtida | Ausgang
surtir | ausgehen, herausgehen, weggehen
surtut | Gehrock
survigilantie | Überwachung
survigilar | überwachen
susceptibil | empfindlich, reizbar
susceptibilitá | Empfindlichkeit, Reizbarkeit
suspecte | Verdacht
suspecter | verdächtigen
suspection | Verdächtigung
suspectiv | verdächtig
suspender | aufhängen, aufschieben, einstellen, entheben, suspendieren
suspense | Aufschub
suspension | Aufhebung, Entlassung, Suspendierung, Aufschiebung
suspensiv | aufschiebend
susurrada | Flüstern, Murmeln
susurrar | flüstern, säuseln, murmeln
sutane | Priesterrock, Sutane
sutenero | Zuhälter
sution | Nähen
sutor | Näher
sutora | Näherin
sutura | Naht, Fuge
suvenire | Souvenir, Andenken
Svedia | Schweden
svelt | schlank
sveltesse | Schlankheit
svimmada | Schwimmen
svimmar | schwimmen
svimm-bassine | Schwimmbecken
svimmator | Schwimmer
svimmero | Schwimmer
svin | Schwein
svin-stalle | Schweinestall
svinería | Schweinestall
svinello | Ferkel
sviniera | Schweinestall
svinine | Schweinefleisch
Svissia | Schweiz
ta | dort
a ta | dorthin
tabac | Tabak
tabac-venditor | Tabakverkäufer
tabane | Bremse
tabellari | tabellarisch
tabelle | Tabelle
tabernacle | Tabernakel
table | Tisch
table-toale | Tischtuch
tabló | frappante Szene, Ende eines Aktes (Theater)
tabú | Tabu
tabul | Tafel
tabulator | Tabulator
tabulette | Tablette, Plättchen
taburett | Fußbank, Sitzschemel
tacent | schweigend, schweigsam
tacentie | Schweigen
tacer | schweigen
tache | Aufgabe
tachear | eine Aufgabe stellen
taciturn | schweigsam
taciturnitá | Schweigsamkeit
taclar | auftakeln (Schiff)
tacle | Takel (Schiff)
tacleage | Takelage
taciturn | schweigsam
taciturnitá | Schweigsamkeit
taciv | verschwiegen, schweigsam
tacte | Takt
sin tacte | taktlos
tactear | den Takt angeben, takten
tactica | Taktik
tactical | takisch
tactico | Taktiker
tactil | fühlbar
tactilitá | Fühlbarkeit
tactosi | taktvoll
taffe | Karamelbonbon
taft | Taffet
tal | solch, so
talare | Talar, Amtstracht
talc | Talk
talent | Talent
talentosi | talentiert
taler | Taler
tallia | Figur, Wuchs
talliar | schneidern, schneiden
tallie | Schnitt
talliero | Schneider
talismane | Talisman, Glücksbringer
talmen | so (Adverb)
talmi | Tand
talon | Absatz (Schuh), Schuhabsatz
talonar | mit Absätzen versehen
talpe | Maulwurf
talp-tumul | Maulwurfshügel
tam | so
tam ... quam | genau … wie, so(viel) ... wie
tambur | Trommel
tamburar | trommeln
tamburero | Trommler
tamburine | Tamburin
tamburist | Trommler
támen | jedoch, dennoch, indessen
tampar | einstampfen
tampon | Tampon
tamponar | tamponieren
tanche | Schleie
tande | dann, damals
tandem | Tandem
tangage | Stämpfen (Schiff)
tangar | stampfen
tangente | Tangente
tangential | tangential
tango | Tango
tank | Panzer
tannar | gerben
tanne | Tein (Haut)
tanneríe | Gerberei
tannero | Gerber
tant | soviel
in tant que | insofern als
tanta | Tante
tappada | Getappse
tappar | tappen
tapete | Tapete
tapioca | Tapioka, Tapiokamehl
tapisse | Teppich
tapisseríe | Teppichknüpferei, Teppichmacherei
tapissero | Teppichmacher
tapon | Korken, Pfropfen
tappa | Klopfen, Klaps
tarantella | Tarantella
tarantul | Tarantel
taráxaco | Löwenzahn
tard | spät
tardar | sich verspäten, spät sein
tardigrad | langsam gehend
tarif | Tarif, Gebührnis
tarine | Zeisig
tarse | Fußwurzel
tartane | Tartan (Stoff), kleines Schiff
tarte | Torte
tartette | Törtchen
tartre | Zahnstein, Weinstein
tasca | Tasche
tasca-lampe | Taschenlampe
Tasmania | Tasmanien
tasmanian | tasmanisch
tastatura | Tastatur
tasse | Tasse
taste | Taste
Tataria | Tatarstan
tatarian | tatarisch
tataric | tatarisch
tataro | Tatare
tatuage | Tätowierung
tatuar | tätowieren
taureator | Stierkämpfer
taurero | Stierkämpfer
taurin | Stier-
tauro | Stier
tautologic | tautologisch
tautologie | Tautologie
taverne | Kneipe, Schenke, Wirtshaus
tavernero | Gastwirt, Schankwirt
taxametre | Taxometer
taxar | einschätzen, abschätzen
taxation | Einschätzung
taxator | Schätzer
taxi | Taxi
taxon | Dachs
taxuo | Eibe
Tchec Republica | Tschechische Republik
Tchekia | Tschechien
te | dir, dich
té | Tee
tecruche | Teekrug
té-repaste | Teezeit (Mahlzeit)
té-urne | Teemaschine
tébuxe | Teebüchse
teatral | Theater-
teatre | Theater
tec | Teakbaum
tecnica | Technik
tecnical | technisch
tecnico | Techniker
tecnologic | technologisch
tecnologie | Technologie
tedant | langweilig
tedar | langweilen, ärgern
tedarosi | langweilig, ärgerlich
tegment | Dach
tegment-fenestre | Dachluke
tegmentar | Dach decken
tegmentero | Dachdecker
tegul | Ziegel
tegulero | Ziegler
telefon | Telefon
telefon-numeró | Telefonnummer
telefonar | telefonieren
telefonic | telefonisch
telefonist | Telefonist
telegraf | Telegraph (Gerät)
telegrafic | telegraphisch
telegrafie | Telegraphie
telegrafist | Telegraph (Person)
telegramma | Telegramm
teleologie | Teleologie
telepatic | telepathisch
telepatíe | Telepathie, Gedankenlesen
telescop | Teleskop
television | Fernsehen
televisor | Fernseher
tema | Thema
tematic | thematisch
temerari | tollkühn, verwegen, wagemutig
temeraritá | Wagemut, Verwegenheit
tempe | Wetter
temperament | Temperament
temperar | lindern, mäßigen, mildern
temperantie | Linderung, Mäßigung
temperatura | Temperatur
tempeste | Sturm, Gewitter, Unwetter
tempestosi | stürmisch
tempie | Schläfe
temple | Tempel
tempo | Tempo
temporal | zeitlich
témpor | Zeit
de témpore a témpor | von Zeit zu Zeit manchmal
in just témpor | rechtzeitig
temporal | zeitlich
temporari | temporär, übergangsmäßig
tenaci | zäh, hartnäckig
tenacitá | Zähigkeit, Hartnäckigkeit
tenare | Handballen, Fußballen
tenda | Zelt
tendentie | Tendenz
tendentiosi | tendenziell, tendenziös
tender | ausdehnen, ausstrecken, spannen
tender | Tender (Eisenbahn)
tendet | gespannt, straff
tendon | Sehne
tendonosi | sehnig
tendresse | Zartheit, Weichheit, Zärtlichkeit
tendri | zart, weich, zärtlich
tenebre | Finsternis
tenebrosi | finster
tenebrositá | Finsternis
tener | halten, festhalten
tenette | Griff
tenia | Bandwurm
tenibil | haltbar
ténnis | Tennis
tenon | Zapfen, Pinne, Stift (mechanisch)
tenor | Tenor
tenore | Inhalt, Gehalt (eines Schriftstück, Vortrages)
tension | Spannung
tentacul | Tentakel, Fühler, Tastfaden, Fühl-
tentar | in Versuchung führen, versuchen
tentation | Versuchung
tentativ | versuchend
tentator | Verführer
tentatori | versuchend, verführerisch
tention | Halt
tenui | dünn, fein, zart
tenuitá | Dünnheit, Feinheit, Zartheit
teocratie | Theokratie, Gottesherrschaft
teologic | theologisch
teologie | Theologie
teologo | Theologe
teorema | Lehrsatz, Theorem
teoretic | theoretisch
teoretisar | theoretisieren
teorie | Theorie
teosof | Theosoph
tepid | lauwarm
tepidarium | Glashaus, Treibhaus
terapeutic | therapeutisch
tepapeutica | Therapeutik
terapie | Therapie
terasse | Terrasse
terebintine | Terpentin
terme | Therme, Heißwasserquelle
terminar | beendigen
termine | Termin, Frist
término | Ausdruck, Fachbegriff, Wort
terminologie | Terminologie
terminus | Endstation
termite | Termite
termometre | Thermometer
terra | Erde
terracotta | Terrakotta
terral | Erd-
terren | Gelände, Terrain, Land
terren de camping | Campingplatz
terr-etage | Erdgeschoss
terrer | erschrecken, entsetzen
terrestri | irdisch, Erd-
terribil | schrecklich
terrine | Terrine, tiefe Schüssel
terrore | Schrecken, Terror
terrorisar | terrorisieren
terrorisme | Terrorismus
terrorist | Terrorist
terr-tremore | Erdbeben
un ters | ein Drittel
tertiari | tertiär
tese | These
testacé | Schalentier
testage | Vermächtnis
testament | Testament
testamentari | testamentarisch
testar | testamentarisch vererben
testator | Erblasser
testicules | Hoden
testimon | Zeuge
testimon oculari | Augenzeuge
testimoniar | bezeugen
testimonie | Zeugnis
tétano | Starrkrampf;Tetanus
tettar | an der Zitze saugen/trinken
tette | Zitze
teutonic | teutonisch
textage | Webstoff
texter | weben
textería | Weberei
textero | Weber
textil | Stoff-, textil
textile | Textil, Stoff
textor | Weber
textu | Text
textual | textlich
textura | Gewebe
ti | dieser
ti-ci | dieser, dieser hier
ti-tá | dieser dort, jener
tiara | Tiara
Tibet | Tibet
tibetan | tibetanisch
tibia | Schienenbein
tic | Zecke
tic-tac | Ticken, ticktack (Uhr)
tic-tacar | ticken (einer Uhr)
ticar | ticken
ticlar | prickeln
tif | Typhus
tigra | Tigerin
tigre | Tiger
til | bis
til deman | bis morgen
til nu | bis jetzt
tilie | Linde
tim | Thymian
timbale | Zimbel
timbre | Klang eines Musikinstruments, Hammerglocke
timer | fürchten, befürchten
timid | schüchtern, furchtsam
timiditá | Schüchternheit
timon | Deichsel
timore | Angst
timore de estrade | Lampenfiebers
timorosi | ängstlich
timpane | Trommelfell; Mittelohr
tindre | Zunder
tine | Zuber, Bütte
tinea | Schorf, Räude, Motte
tintinar | klingeln
tintinette | Klingel
tip | Typ
tipic | typisch
tipograf | Typograph
tipul | Schnake
tirade | Tirade, Wortschwall
tirbux | Schublade
fircheste | Schubfach
tira | Schuss
tira-corc | Korkenzieher
tira-scruv | Schraubenzieher
tirann | Tyrann
tirannic | tyrannisch
tirannie | Tyrannei, Schreckensherrschaft
tirannisar | tyrannisieren
tiranno | Tyrann
tirar | ziehen, schießen
tiré | Gedankenstrich
tiroide | Schilddrüse
Tirol | Tirol
tirolian | tirolerisch
tiruore | Schublade
tis | diese (Plural)
tisane | Arzneitrank, heilkräftiger Tee
titane | Titan
titanic | titanisch
titillar | kitzeln
titillation | Kitzeln
titul | Titel
titul-folie | Titelblatt
titul-image | Titelbild
titular | titulieren, bezeichnen
titulation | Titulierung
to fa nequó | das macht nichts
to | das, es
toale | Linnen, Tischtuch
toffe | Büschel
toffette | kleines Bündel
toffosi | buschig
toilette | Toilette
tole | Blechplatte
tolerabil | erträglich
tolerant | tolerant, duldsam
tolerantie | Toleranz, Duldsamkeit
tolerar | dulden, ertragen, tolerieren
toleration | Tolerierung
tom | Band (Buch)
tomate | Tomate
tombal | Grab
tombe | Grab
ton | Ton
tonal | tonal
tonalitá | Tonalität
tonder | scheren
tondette | Schere
tonic | tonisch, stärkend, anregend
Tonkin | Tonkin
tonkines | tonkinesisch
tonne | Tonne
tonnel | Fass
tónner | Donner
tónnerar | donnern
tónner-storm | Gewitter
tonsill | Mandel (im Körper)
tonsura | Tonsur
tonsurarar | eine Tonsur schneiden
topaze | Topas
topografie | Topographie
torac | Brustkasten, Thorax
tórax | Brustkorb, Thorax
torche | Fackel
toreador | Torero, Stierkämpfer
torder | verdrehen, umdrehen, auswenden
tordet | schief, knorrig
torduore | Schraubenschlüssel
torment | Qual, Pein, Marter
tormentar | foltern, martern. quälen
tormentero | Folterknecht
torn-harriere | Drehkreuz
tornada | Drehen
tornar | drehen, wenden
tornar se | sich umdrehen
tornasole | Sonnenblume
tornero | Drechsler, Dreher
tornería | Dreherei
torney | Turnier
tornistre | Tornister
tornuore | Drehbank
torpedo | Torpedo
torrefacter | (Kaffee) rösten
torrefaction | (Kaffee) Röstung
torrent | Wildbach, Sturzbach, Strom, Flut
torrentear | (Regen) niederprasseln
torrid | glühend heiß
torsion | Verdrehung
torsiv | gewunden, kurvenreich
torte | Kuchen
torticolie | Halsstarre
tortug | Schildkröte
tortura | Tortur, Pein
torturar | peinigen, foltern
torturator | Peiniger
torturero | Folterknecht
Toscana | Toskana
toscanic | toskanisch
tost | früh
tostar | einen Tost ausbringen
tot | ganz, vollständig, gesamt
un tot | ein Ganze
tot ne | gar nicht
total | vollständig, total
totale | Gesamtheit
totalitá | Gesamtheit
totalité | Gesamtheit
totalitari | totalitär
totmen nov | brandneu
toxic | giftig
toxine | Giftstoff
toxitá | Giftigkeit
tra | durch, hindurch
traborar | durchbohren
trac | Kielwasser, Fahrt
traché | Luftröhre
traciar | nachgehen, nachspüren, aufspüren
tracie | Spur, Eindruck, Fußstapfen, Fährte
tractament | Behandlung
tractar | behandeln
tractate | Vertrag
traction | Zug, Zugkraft
tractor | Traktor
tradition | Tradition
traditional | traditionell
traducter | übersetzen
traduction | Übersetzung
traductor | Übersetzer
traer | ziehen
trafic | Verkehr, Warenverkehr
traficar | handeln, verkehren
trafic-foy | Ampel
trafic-luce | Ampel
tragedie | Tragödie
tragic | tragisch
tragico | Tragödiendichter
trahir | verraten
trahition | Verrat
trahitor | Verräter
trajectorie | Flugbahn
tralucent | lichtdurchlässig
tralucentie | Lichtdurchlässigkeit
tram | Straßenbahn
trama | Schuss (Weberei)
tramp | Landstreicher, Vagabund
tramplada | Getrampel
tramplar | trampeln
trampline | Sprungbrett
trancha-papere | Brieföffner
tranchant | scharf, schneidend
tranchar | schneiden
tranche | Scheibe, Schnitte
tranché | Schützengraben
tranchir | zerlegen
tranquil | ruhig, friedlich
tranquilisar | beruhigen
tranquilitá | Ruhe, Friedfertigkeit
trans | durch, über, jenseits, hindurch
transacter | unterhandeln, Geschäfte abschließen
transcendent | überlegen, über das gewöhnliche Maß herausgehend
transcendental | transzendental
transcendentie | Transzendenz
transear | hinübergehen, überqueren
transepte | Querschiff
transfert(e) | Überführung, Überweisung
transferter | überführen, verlegen, überweisen
transfigurar | umbilden, verklären (religiös)
transfiguration | Umbildung, Verklärung
transforar | durchbohren
transformar | verwandeln, umwandeln
transformation | Umwandlung, Transformation, Verwandlung
transformator | Transformator, Umwandler
transfugir | überlaufen, abtrünnig werden
transfuser | übergießen, überleiten (Blut), Blut transferieren
transfusion | Transfusion, Überleitung
transgresser | (ein Gesetz) übertreten
transgression | Übertretung, Verstoß (gegen ein Gesetz)
transgressor | Übertreter, Gesetzesbrecher
transmarin | überseeisch
transmisser | übertragen, senden
transmission | Übertragung
transmutar | umwandeln
transmutation | Umwandlung
transparent | transparent, durchsichtig
transparentie | Transparenz, Durchsichtigkeit
transsexualitá | Transsexualität
transiger | einen Vergleich schließen (zur Beilegung eines Streites)
transir | übergehen, überlaufen
transition | Übergang, Transition
transite | Transit, Übergang
transitori | übergangsweise
transitiv | transitiv
translater | überführen, übersetzen, versetzen
translation | Überführung, Übersetzung
translocar | umziehen (Wohnort wechseln), an einen anderen Ort versetzen
translocation | Umzug, Versetzung
transmanuar | aushändigen
transmanuation | Übergabe, Aushändigung
transmisser | übersenden, übertragen, ausstrahlen (eine Fernsehsendung)
transmission | Übersendung, Ausstrahlung, Übertragung
transmutar | umwandeln
transmutation | Umwandlung
transparent | transparent, durchsichtig
transparentie | Transparenz, Durchsichtigkeit
transparer | durchscheinen
transpassuar | durchschreiten, überschreiten
transpirar | schwitzen, transpirieren
transpiration | Schwitzen, Transpirieren
transplantar | verpflanzen
transplantation | Verpflanzung, Transplantation
transponer | an eine andere Stelle setzen
transportar | transportieren
transporte | Transport
transposir | umstellen
transposition | Umstellung
transscrir | übertragen, transkripieren
transscrition | Übertragung, Transkription, Umschreibung
Transvaal | Transvaal
transvasar | umschütten, umgießen, umfüllen
transversal | quer, hindurchgehend
transversar | übergießen
trapeze | Trapez
trapp | Falle, Schlinge
trappar | eine Falle stellen
trappero | Fallensteller, Trapper
trate | Charakterzug
tratte | 1.Pakt, 2. Wechsel, Tratte
travage | Gebälk
trave | Balken
traversa | Durchquerung
traversar | durchqueren
traverse | Querbalken, Eisenbahnschwelle, Schlafwagen
travestie | Verkleidung, Travestie
travestir | sich verkleiden, vermummen
travestition | Verkleiden
tre | sehr
treff | Kreuz, Eichel (beim Kartenspielen)
trelliage | Gitterwerk
trellie | Spalier
trema | Trennpunkte (Interpunktion)
tremer | zittern
tremid | zittrig
trémolo | Tremolo (Musik)
tremore | Beben, Zittern
tremorosi | zittrig, bebend
tremul | Espe
tren | Zug, Schleppe
trenar | schleppen
trenard | Nachzügler
trepanar | den Schädel aufbohren
trepanation | Schädelbohren
trepanator | Schädelbohrer
trepidar | erbeben, erschüttern, rasseln
trepidation | Erschütterung, Beben
tresor | Schatz
tresorero | Schatzmeister
tressage | Geflecht
tressar | knüpfen, flechten (Haar)
tresse | Zopf
trestale | Fußgestell, Bock, Gauklerbühne
tri | drei, 3
triangul | Dreieck
triant | dreißig, 30
triantesim | dreißigster
tribal | Stammes-
tribalisme | Stammestum, Tribalismus
tribe | Stamm, Volksstamm, Zunft
tribular | drangsalieren
tribulation | Drangsalieren
tribunale | Gericht
tribune | 1. Tribüne, 2. Tribun (Rom)
tributari | tributpflichtig sein
tributario | Tributpflichtiger
tribute | Tribut, Gebühr
tric | Trick, Kniff, Betrug
tricar | austricksen, einen Trick anwenden, betrügen
